,favorite_count,retweet_count,sia_compound,sia_negative,sia_neutral,sia_positive,target,text,time
0,,,0.0,0.0,1.0,0.0,0,"RT @JulianCastro: My grandmother was a domestic worker. She cleaned other people's houses so we could someday own our own.\n\nYesterday, work\xe2\x80\xa6""",10/29/2019 22:56
1,,,0.0,0.0,1.0,0.0,1,"RT @MayorOfLA: #GettyFire update | 8AM:\n\n- 5% containment \n- 658 acres burned\n- 1,100+ firefighters from @LAFD and partner agencies on scen\xe2\x80\xa6'",10/29/2019 22:56
2,,,-0.34,0.21100000000000002,0.789,0.0,1,Getty Fire Ignited by Power Line in Sepulveda Pass  https://t.co/F8TXgJVwe4',10/29/2019 22:56
3,,,-0.5859,0.20199999999999999,0.7979999999999999,0.0,1,"RT @latimes: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California throu\xe2\x80\xa6'",10/29/2019 22:56
4,,,-0.2732,0.122,0.812,0.066,1,Arson investigators from the Los Angeles Fire Department said it appeared a tree branch snapped-off by intense wind\xe2\x80\xa6 https://t.co/WVEZZ3kl8k',10/29/2019 22:56
5,,,-0.6124,0.22699999999999998,0.773,0.0,1,RT @lacerci65: Watch \xe2\x80\x93 Evacuations Ordered: Brush Fire Threatens Getty Center Drive in Heart of L.A. https://t.co/FZitscpc5p via @Breitbart\xe2\x80\xa6',10/29/2019 22:55
6,,,-0.34,0.098,0.902,0.0,1,"RT @cmonstah: \xe2\x80\x9cWhat can I do?\xe2\x80\x9d he said. \xe2\x80\x9cI need the money, I need to work.\xe2\x80\x9d\n\nGetty fire: Housekeepers and gardeners go to work despite the\xe2\x80\xa6'",10/29/2019 22:55
7,,,-0.34,0.21100000000000002,0.789,0.0,1,Edify TV: Animals Evacuated From Getty Fire - Westside Today - https://t.co/3MJaXA4LbE',10/29/2019 22:55
8,,,-0.6705,0.282,0.718,0.0,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/C9naB1nd8X https://t.co/CLapHATCCT',10/29/2019 22:55
9,,,-0.6705,0.282,0.718,0.0,0,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/5b9NxFjskk https://t.co/8SioqH0ykz',10/29/2019 22:55
10,,,-0.34,0.107,0.893,0.0,1,"RT @CBSEveningNews: As the #KincadeFire continues to ravage Northern California\xe2\x80\x99s Sonoma County, fire crews are bracing for some of the str\xe2\x80\xa6'",10/29/2019 22:55
11,,,-0.6705,0.282,0.718,0.0,1,California: 15% of Getty Fire contained ahead of dangerous wind event (LA mayor) |\xc2\xa0AFP https://t.co/uutEICv7Qm https://t.co/qxPBxiig7T',10/29/2019 22:55
12,,,0.2023,0.0,0.769,0.231,0,RT @SurlyAmy: \xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx',10/29/2019 22:55
13,,,0.0,0.0,1.0,0.0,0,Up to 20 million \xf0\x9f\xa4\x94\xf0\x9f\x98\xa2 https://t.co/nzffmAsMxC',10/29/2019 22:55
14,,,-0.5106,0.281,0.588,0.131,1,"RT @gayandsweaty: ""______ has marked themselves safe from the Getty Fire"" \n\nMe: Bitch you live DOWNTOWN'",10/29/2019 22:55
15,,,-0.4767,0.27399999999999997,0.594,0.132,1,"Getty fire: Punishing Santa Ana winds, the strongest of the season, build as blaze grows https://t.co/BpTwrYkIrS'",10/29/2019 22:54
16,,,-0.6124,0.217,0.7829999999999999,0.0,1,"RT @NBCNightlyNews: NOW on @NBCNightlyNews: @LesterHoltNBC is in Los Angeles, where firefighters are continuing to fight the Getty Fire wit\xe2\x80\xa6'",10/29/2019 22:54
17,,,-0.5859,0.20199999999999999,0.7979999999999999,0.0,1,"RT @shelbygrad: In an ominous new warning, the National Weather Service issued a rare \xe2\x80\x9cextreme red flag warning\xe2\x80\x9d for Southern California th\xe2\x80\xa6'",10/29/2019 22:54
18,,,0.0,0.0,1.0,0.0,1,"RT @SenateRepCaucus: If @GavinNewsom can direct $5b to study \xe2\x80\x98how to get people out of their cars\xe2\x80\x99 and build bike lanes, or direct $2b to t\xe2\x80\xa6'",10/29/2019 22:54
19,,,-0.7184,0.429,0.5710000000000001,0.0,1,"RT @thedailybeast: Southern California's Getty fire destroys 12 homes https://t.co/gIYVhA7YcF""",10/29/2019 22:54
20,,,-0.9216,0.43200000000000005,0.568,0.0,1,RT @Markfry809: We are witnessing apocalyptic scenes of destruction in California while this disgraceful fucking fraud of a President ignor\xe2\x80\xa6',10/29/2019 22:53
21,,,-0.5106,0.245,0.655,0.1,1,ICYMI record-setting climate change wind bellows are about to literally fan the flames of a catastrophic fire named\xe2\x80\xa6 https://t.co/nowMAYsNpy',10/29/2019 22:53
22,,,0.8247,0.0,0.5920000000000001,0.408,1,I like how many of my friends that never leave Lincoln heights/Chinatown marked themselves safe in the Getty fire.',10/29/2019 22:53
23,,,0.0,0.0,1.0,0.0,0,"RT @RoseAnnDeMoro: Reason #1,398,898,989 to loath the #1%\n\nNo one called them, the 1% fled while they showed up for work.  Invisible class.\xe2\x80\xa6'",10/29/2019 22:53
24,,,-0.6369,0.285,0.604,0.111,1,"RT @ABC7: #BREAKING Getty Fire update: 12 homes destroyed, 5 damaged, containment now at 15% as crews prepare for strong Santa Ana winds\nht\xe2\x80\xa6'",10/29/2019 22:53
25,,,-0.4939,0.158,0.8420000000000001,0.0,1,"RT @ladailynews: #GettyFire update as of 3:30 pm:\n-Wildfire has grown to 656 acres, 15% contained\n-12 homes destroyed, 5 damaged\n-Officials\xe2\x80\xa6'",10/29/2019 22:53
26,,,0.2716,0.0,0.9129999999999999,0.087,1,"""We have the most significant wind event in Los Angeles of the year that will be starting this evening around 11 o&amp;\xe2\x80\xa6 https://t.co/18pDf0pPC2'",10/29/2019 22:52
27,,,-0.6486,0.187,0.813,0.0,1,"RT @latimes: Officials worry the high Santa Ana winds may blow Getty fire embers miles away from the body of the blaze, igniting fires and\xe2\x80\xa6'",10/29/2019 22:52
28,,,0.0,0.0,1.0,0.0,1,"RT @billmckibben: Is it a metaphor that wildfire is ""licking at the edges"" of the Getty Museum, which houses some of human culture\'s great\xe2\x80\xa6'",10/29/2019 22:52
29,,,0.128,0.109,0.765,0.126,1,"RT @shelbygrad: THE TRUEST STORY YOU WILL READ ABOUT THE LA FIRE &gt;&gt;&gt;  Housekeepers, gardener in tony Brentwood go to work despite the flame\xe2\x80\xa6'",10/29/2019 22:52
30,,,-0.7845,0.294,0.706,0.0,1,"RT @NYTNational: As the weather worsens, the Kincade and Getty fires are part of a vicious wildfire season straining the resources of fire\xe2\x80\xa6'",10/29/2019 22:52
31,,,0.0,0.0,1.0,0.0,1,As of 2:40 pm PT. Yikes and Yikes. Heads up all my California family/friends and just everyone.\nPS  LA Times has te\xe2\x80\xa6 https://t.co/5yAfIKg5RW',10/29/2019 22:52
32,,,-0.34,0.124,0.8759999999999999,0.0,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight\xc2\xa0\xc2\xa0LAistView full coverage on Google News https://t.co/1azTzxEH83',10/29/2019 22:52
33,,,-0.34,0.156,0.8440000000000001,0.0,1,Getty Fire: 656 Acres Burned As Firefighters Brace For Extreme Winds Tonight - LAist https://t.co/lfkdw41Uv3',10/29/2019 22:52
34,,,0.2023,0.0,0.69,0.31,0,\xf0\x9f\x94\xa5Everything is fine \xf0\x9f\x94\xa5 https://t.co/wqdvokquPx',10/29/2019 22:51
35,,,-0.8316,0.47100000000000003,0.529,0.0,1,"As wildfire rages, LA's 'fire proof' Getty Museum sees no risk to art #US | #RTGNews""",10/29/2019 22:51
36,,,0.0,0.0,1.0,0.0,1,"""As of early this week the Los Angeles Department of Water and Power, that owns the pole closest to the start of th\xe2\x80\xa6 https://t.co/v0rKk9tTFd'",10/29/2019 22:51
37,,,0.626,0.0,0.836,0.16399999999999998,1,RT @LACOFD: READY! SET! GO!\nPreparation and prevention go hand-in-hand.  As we prepare for another Santa Ana wind event and assist LAFD wit\xe2\x80\xa6',10/29/2019 22:51
38,,,0.0258,0.17,0.654,0.17600000000000002,1,RT @TMZ: John Cena Donating $500k to Help Battle California Fires https://t.co/ARV4buKmBm',10/29/2019 22:51
39,,,-0.4767,0.14,0.86,0.0,1,@GoJax_ @nowthisnews I thought the same but checked current video.  Getty Fire at the 405 and by a school with student evacuation.',10/29/2019 22:50
40,,,-0.34,0.13,0.87,0.0,1,"RT @brittny_mejia: A thread: Getty fire: Housekeepers, gardener go to work despite the flames - Los Angeles Times https://t.co/G6UZm8bkdD'",10/29/2019 22:50
41,,,-0.6369,0.191,0.809,0.0,1,RT @Reuters: A fast-moving brush fire that broke out near Los Angeles\xe2\x80\x99 Getty Center museum has grown to consume more than 400 acres in the\xe2\x80\xa6',10/29/2019 22:50
42,,,-0.5574,0.397,0.603,0.0,1,Newsletter: Fire knows no boundaries - Los Angeles Times https://t.co/Mo4suxnYJA',10/29/2019 22:50
